990066a,Asif,17 hours ago,Merge pull request #81 from doba0032/php/doba0032/add-functions
a85c08f,doba0032,17 hours ago,changed in code
52d167c,shaonbarua001,17 hours ago,js file of the artist added
92f2030,shaonbarua001,18 hours ago,added more css code for artist
24a262b,shaonbarua001,18 hours ago,artist css file added
d7b6ea9,shaonbarua001,18 hours ago,working on html file
6a992e0,Shaf0084,20 hours ago,Update artworks.php
2eaffc5,Shaf0084,20 hours ago,Merge pull request #78 from doba0032/php/doba0032/admin-code-update
0cc6e7f,doba0032,20 hours ago,Merge pull request #79 from doba0032/php/doba0032/add-new-files
af20f66,doba0032,20 hours ago,Added new files
d5d56a4,doba0032,20 hours ago,Update admin.php
61cc524,Sirjana wagle,27 hours ago,small changes- linked pages
f49ac93,wagl0016,29 hours ago,Merge pull request #77 from doba0032/html/wagl0016/usage_css
cb884f9,Sirjana wagle,2 days ago,Css file for usgae Guidlines
d507f9e,doba0032,2 days ago,Merge pull request #76 from doba0032/src/doba0032/change-small-path
8c5ba71,doba0032,2 days ago,changed path
a77d313,doba0032,2 days ago,Merge pull request #75 from doba0032/html/wagl0016/usageGuidline_page
8193294,Sirjana wagle,2 days ago,Created usageguidline page and add html code
d1741d6,doba0032,2 days ago,Merge pull request #74 from doba0032/HTML/doba0032/Path-addFile
7091b1b,doba0032,2 days ago,Added paths and Contact_Us.html
2854a8c,doba0032,2 days ago,Merge pull request #73 from doba0032/html/wagl0016/Added_art_submiision_php_code
d638870,Sirjana wagle,2 days ago,Added php code in artworks.php
7204b43,Asif,2 days ago,Merge pull request #72 from doba0032/html/wagl0016/pagination_php
b3d8323,Sirjana wagle,2 days ago,added php for pagination and get art
1ba2492,Asif,2 days ago,Merge pull request #71 from doba0032/html/wagl0016/sorting_php
8251523,Sirjana wagle,2 days ago,Update artworks.php
4e1fb47,Sirjana wagle,2 days ago,added php sorting
3b0fc1a,doba0032,2 days ago,solve error
75a2046,doba0032,2 days ago,Merge pull request #70 from doba0032/html/wagl0016/artworks_php
7c4ff3c,Sirjana wagle,2 days ago,created artworks.php and added php for filter
270d9bd,doba0032,2 days ago,Merge pull request #69 from doba0032/html/wagl0016/aboutuus_css
3931192,Sirjana wagle,2 days ago,changes css of aboutus
816d2c5,Sirjana wagle,2 days ago,changes on css on aboutus
b2aa24f,doba0032,2 days ago,Merge pull request #68 from doba0032/htnl/wagl0016/arwork_json_file
5edf485,doba0032,2 days ago,Merge pull request #67 from doba0032/html/wagl0016/aboutus_changes
fb9737b,Sirjana wagle,2 days ago,placed jsonn file in data and rename
6cf5a18,Sirjana wagle,2 days ago,changes in css of aboutus
6060ed3,doba0032,2 days ago,Merge pull request #66 from doba0032/html/wagl0016/artwork_json
9b21f73,Sirjana wagle,2 days ago,created artwork.js and added json data
54af426,Sirjana wagle,2 days ago,move aboutus html and css to cycle 3
c52ed7e,doba0032,3 days ago,Merge pull request #65 from doba0032/php/shaf0084/config-write-post-jsonfunction
3e8140c,Shaf0084,3 days ago,Create config.php
ec5296f,doba0032,3 days ago,Merge pull request #64 from doba0032/php/shao0093/auth-logIn-Register-actions
399b175,shaonbarua001,3 days ago,Create auth.php
0f20be0,doba0032,3 days ago,Merge pull request #63 from doba0032/php/chow0250/all-new-categories
7210ac7,Asif,3 days ago,Create categories.php
5097ee9,Asif,3 days ago,Merge pull request #62 from doba0032/php/doba0032/admin-actions
c622950,doba0032,3 days ago,Added code in admin.php
2fead04,Shaf0084,3 days ago,Merge pull request #61 from doba0032/json/chow0250/add-art-categories
eb037b7,Asif,3 days ago,Create categories.json
cd52c0c,doba0032,3 days ago,Merge pull request #60 from doba0032/json/shaf0084/token-sessions
71c0073,Shaf0084,3 days ago,Create sessions.json
5241c9b,Shaf0084,3 days ago,Merge pull request #59 from doba0032/json/shao0093/submissions.json
d144473,shaonbarua001,3 days ago,Create submissions.json
9a0aff4,Asif,3 days ago,Merge pull request #58 from doba0032/sql/doba0032/users-json
6fffe54,doba0032,3 days ago,Added json file
f1856f6,Asif,3 days ago,Merge branch 'main' of https://github.com/doba0032/COMP9030-Assignment
85f5961,Asif,3 days ago,Update AI-acknowledgement.md
9c03193,doba0032,3 days ago,Added AI acknowledgement
9524364,Asif,3 days ago,Merge pull request #56 from doba0032/html/wagl0016/Css-for-Abou-us
86007c5,Asif,3 days ago,Merge pull request #57 from doba0032/JavaScript/doba0032/auth-session
150b102,doba0032,3 days ago,Added javascript file
6a3cef7,doba0032,3 days ago,Create CSS file
b662b13,doba0032,3 days ago,Added all the files from cycle 2
bd6fe7a,Sirjana wagle,3 days ago,Created and added Coded for aboutus css
b3b696c,Asif,3 days ago,Merge pull request #55 from doba0032/html/wagl9916/aboutus.html
71eb61a,Sirjana wagle,3 days ago,create AboutUs.Html
55e3d26,Asif,3 days ago,Merge pull request #54 from doba0032/html/wagl0016/Changes_HomePage
d9876f7,Sirjana wagle,3 days ago,Update Home-Page.html
a755e77,doba0032,3 days ago,Merge pull request #53 from doba0032/HTML-js/shao0093/map-report
3f52ea5,shaonbarua001,3 days ago,Added AI acknowledgement
3511888,doba0032,3 days ago,small changes
f8ee1d3,doba0032,3 days ago,Merge pull request #52 from doba0032/HTML-js/shao0093/map-report
ad7a8cd,doba0032,3 days ago,Merge branch 'main' into HTML-js/shao0093/map-report
843bb9f,shaonbarua001,3 days ago,added code feature
493fdeb,doba0032,4 days ago,Added AI acknowledgement
4801e02,doba0032,4 days ago,nothing
aed01cd,doba0032,4 days ago,added paths
9f0dfd2,doba0032,4 days ago,Merge pull request #51 from doba0032/HTML-CSS-Javascript/doba0032/artist-page
4de969c,doba0032,4 days ago,Added code in artist page
6cc9310,doba0032,4 days ago,added json file
e127ab1,doba0032,4 days ago,Merge pull request #50 from doba0032/revert-49-html/shao0093/map-report
a859660,doba0032,4 days ago,Revert "map section work done & report done"
3f13676,shaonbarua001,5 days ago,Merge pull request #49 from doba0032/html/shao0093/map-report
fa653b6,shaonbarua001,5 days ago,map section work done & report done
4d1eb01,shaonbarua001,5 days ago,Merge pull request #47 from doba0032/HTML-CSS/doba0032/Contact_Us_Page
0bacbc5,doba0032,5 days ago,Merge pull request #48 from doba0032/html/shao0093/map-report
7387de1,shaonbarua001,5 days ago,map section added
2f2b527,doba0032,5 days ago,Added paths
95d10e1,doba0032,5 days ago,small changes
da918d3,doba0032,6 days ago,make it simple
5638ba4,doba0032,6 days ago,changes small things
8f4f86e,doba0032,6 days ago,Added Contact Us Page
2827df8,doba0032,7 days ago,remove extra parts
5d2b2ef,shaonbarua001,7 days ago,Merge pull request #46 from doba0032/html/shao0093/homepage
6794309,shaonbarua001,7 days ago,Merge branch 'main' into html/shao0093/homepage
e9073ae,shaonbarua001,7 days ago,nothing
6c25cce,shaonbarua001,4 weeks ago,remove
78a9b56,doba0032,4 weeks ago,Add c2-log.csv file
42d49d7,doba0032,4 weeks ago,Added paths
b4a652d,doba0032,4 weeks ago,Added paths
1e2da10,doba0032,4 weeks ago,Add paths
a682c25,doba0032,4 weeks ago,Added paths
3a7c889,doba0032,4 weeks ago,Added path
8dde800,doba0032,4 weeks ago,Add paths
9faafc2,doba0032,4 weeks ago,Added path only
916ec66,doba0032,4 weeks ago,no changes
74ab8f2,doba0032,4 weeks ago,no changes
b422206,Asif,4 weeks ago,Acknowledment
1da1a57,doba0032,4 weeks ago,small changes
bd81e88,doba0032,4 weeks ago,small changes
3f7159e,doba0032,4 weeks ago,Added images and change paths
685984c,doba0032,4 weeks ago,delete extra php file
8b4b7ec,doba0032,4 weeks ago,Added CSS in file
ada5b0f,shaonbarua001,4 weeks ago,in
9f366ae,doba0032,4 weeks ago,Merge pull request #45 from doba0032/javascript/shao0093/add-function
ce52436,shaonbarua001,4 weeks ago,Update Home-Page.html
87f99a5,Shaf0084,4 weeks ago,Update AI-acknowledgement.md
01447b4,shaonbarua001,4 weeks ago,add information
7fe52ee,doba0032,4 weeks ago,change file name
7556680,doba0032,4 weeks ago,Remove extra footer
88019b7,doba0032,4 weeks ago,Change file location
c0f7b92,doba0032,4 weeks ago,Merge pull request #43 from doba0032/html/shaf0084/new_art_entry
c803b90,doba0032,4 weeks ago,Merge branch 'main' into html/shaf0084/new_art_entry
c30c278,doba0032,4 weeks ago,Merge pull request #44 from doba0032/html-css/chow0250/Add_image_collection
8aa5d64,Asif,4 weeks ago,Made changes in html and css
c33fed3,doba0032,4 weeks ago,Deleted images
d0e683f,Asif,4 weeks ago,Merge branch 'main' of https://github.com/doba0032/COMP9030-Assignment
a9ff81c,Asif,4 weeks ago,Add images
679eb12,Shaf0084,4 weeks ago,Added Javascript Artist_New_Entry
04a3c40,doba0032,4 weeks ago,Change the Paths
f4b15d6,doba0032,4 weeks ago,Make small changes
d7bf244,doba0032,4 weeks ago,Make organize
3205bcf,Asif,4 weeks ago,Create Bush Yam - My Country.jpg
8dbe769,doba0032,4 weeks ago,Merge pull request #42 from doba0032/html/wagl0016/linking-art-collection-to-Art-Detail
841d1f5,doba0032,4 weeks ago,Merge pull request #41 from doba0032/htm/wagl0016/Ai-Declaration
e5824ec,Sirjana wagle,4 weeks ago,Update AI -Acknoledgment
247d17f,Sirjana wagle,4 weeks ago,Added Image and linked Art Detail with Art Collection
1129019,Sirjana wagle,4 weeks ago,-Added AI Declaration
a2e0730,doba0032,4 weeks ago,added information
3a31c2c,shaonbarua001,4 weeks ago,View More Option Added
0e48565,shaonbarua001,4 weeks ago,View More Option Added
cef97e9,shaonbarua001,4 weeks ago,View more option added
d1b2bfa,shaonbarua001,4 weeks ago,view more option added
3874515,wagl0016,4 weeks ago,Merge pull request #39 from doba0032/CSS/doba0032/add-style-page
842ff0c,wagl0016,4 weeks ago,Merge pull request #38 from doba0032/CSS/doba0032/Add-style-HomePage
090706d,doba0032,4 weeks ago,small changes
d19cc03,doba0032,4 weeks ago,Added Content
2df9e2e,doba0032,4 weeks ago,Added one Javascript function
b23b611,doba0032,4 weeks ago,Added comments
5faff80,doba0032,4 weeks ago,Added and make changes in CSS code
491df3f,doba0032,4 weeks ago,remove line
a877b76,doba0032,4 weeks ago,Make changes
0c60dbe,doba0032,4 weeks ago,Changed the Colors
be2a4e2,doba0032,4 weeks ago,Added CSS style
62000bf,Asif,4 weeks ago,Merge pull request #37 from doba0032/html/wagl0016/javascript_pagination
0de3378,Sirjana wagle,4 weeks ago, added javascript code for pagination
46eacc1,Asif,4 weeks ago,Merge pull request #36 from doba0032/html/wagl0016/javascript_Art_Collection
abeb9c3,Sirjana wagle,4 weeks ago,Update Admin_Dashboard.html
1b11f3f,Sirjana wagle,4 weeks ago,Added javascript code for Art collection page
818c3cf,doba0032,4 weeks ago,Merge pull request #35 from doba0032/html/wagl0016/Art_Collection_Edit
dd268cd,Sirjana wagle,4 weeks ago,Modified added Html,css,image code of art selection
dfcd1a7,shaonbarua001,4 weeks ago,Added pictures to the html path
799f1c6,Asif,4 weeks ago,Merge branch 'main' of https://github.com/doba0032/COMP9030-Assignment
5ba878d,Asif,4 weeks ago,Footer change
b201c10,doba0032,4 weeks ago,Merge branch 'main' of https://github.com/doba0032/COMP9030-Assignment
19df8be,doba0032,4 weeks ago,Deleted the file
2f5d589,shaonbarua001,4 weeks ago,added link
5059264,doba0032,4 weeks ago,Added code in CSS
671f768,doba0032,4 weeks ago,Added css code
54476d0,doba0032,4 weeks ago,small changes
cbc9a86,doba0032,4 weeks ago,Merge branch 'main' of https://github.com/doba0032/COMP9030-Assignment
e4e4b99,doba0032,4 weeks ago,delete line
08beeec,Asif,4 weeks ago,Merge pull request #34 from doba0032/HTML/doba0032/Update-footer-section
b76cf88,doba0032,4 weeks ago,Changed the Style of Footer
10f6d6d,doba0032,4 weeks ago,Added link in Admin dashboard
c75eee3,Asif,4 weeks ago,Merge pull request #33 from doba0032/CSS/doba0032/Style-web-page
ee8f83e,doba0032,4 weeks ago,Make changes in Login signUp and Admin dashboard
1a591c8,doba0032,4 weeks ago,changes paths
eb34c4b,doba0032,4 weeks ago,change file name
48af42c,doba0032,4 weeks ago,Merge branch 'main' of https://github.com/doba0032/COMP9030-Assignment
9e79d25,doba0032,4 weeks ago,change file name
6279924,Asif,4 weeks ago,Update Art_Details.html
5504290,doba0032,4 weeks ago,Merge branch 'main' of https://github.com/doba0032/COMP9030-Assignment
1508ce0,doba0032,4 weeks ago,nothing
e30c27d,doba0032,4 weeks ago,Merge pull request #32 from doba0032/html/chow0250/Art_details
71fd591,doba0032,4 weeks ago,Added content
651cb46,doba0032,4 weeks ago,Merge branch 'main' of https://github.com/doba0032/COMP9030-Assignment
d3092be,doba0032,4 weeks ago,created new file
42376a7,doba0032,4 weeks ago,Merge pull request #31 from doba0032/wagl0016/html/art_collection_css
38340ec,wagl0016,4 weeks ago,Merge pull request #30 from doba0032/html/shaf0084/new_art_entry
5b89869,Asif,4 weeks ago,This is the Art Details page
16e20cf,Sirjana wagle,4 weeks ago,Css code_ art collection
5e96e4f,doba0032,4 weeks ago,Added footer section
76fc408,Shaf0084,4 weeks ago,Artist New Entry (html and css)
56076c4,shaonbarua001,4 weeks ago,default
4c891b4,shaonbarua001,4 weeks ago,changed the
a232412,doba0032,4 weeks ago,Delete cycle3 directory
c5db37a,doba0032,4 weeks ago,Delete cycle2 directory
5a13272,shaonbarua001,4 weeks ago,Garbage File Deleted
31b5925,doba0032,4 weeks ago,added code
29a3912,shaonbarua001,4 weeks ago,New File
7ca6aa0,shaonbarua001,4 weeks ago,Previous File deleted
378ef75,doba0032,4 weeks ago,Merge pull request #28 from doba0032/htm/wagl0016/Edit_header_html
3b19a7f,doba0032,4 weeks ago,Merge pull request #29 from doba0032/html/shao0093/homepage
2e41c41,wagl0016,4 weeks ago,Merge pull request #27 from doba0032/html/chow0250/Art_details
a6f74a5,shaonbarua001,4 weeks ago, Hero section added
551b02b,aayush kafle,4 weeks ago,modifide html and css code for header
39c3ff5,Asif,4 weeks ago,Merge pull request #26 from doba0032/JavaScript/doba0032/account-type-redirect
0f2bf50,doba0032,4 weeks ago,Added feature
0ac2b33,shaonbarua001,4 weeks ago,Hero Section work
a96466e,doba0032,4 weeks ago,change file name
a9a7ed6,doba0032,4 weeks ago,added file
0fd775b,doba0032,4 weeks ago,changed the paths
6a50bda,Asif,4 weeks ago,Update Art_Details.html
199d27e,Asif,4 weeks ago,Merge pull request #25 from doba0032/JavaScript/doba0032/Adding-fratures
e5e7cce,shaonbarua001,4 weeks ago,Added hero, maps, carts
dc9342f,doba0032,4 weeks ago,Created one JavaScript file
c93a76a,doba0032,4 weeks ago,Update Path of images
ddfae15,doba0032,4 weeks ago,Merge pull request #24 from doba0032/skeleton/doba0032/Admin-dashboard-structure
bea5a3c,Asif,4 weeks ago,Merge pull request #22 from doba0032/html/wagl0016/file_header_Footer
bc0df80,shaonbarua001,4 weeks ago,Merge pull request #18 from doba0032/html/wagl0016/Art_Page
19bdffd,doba0032,4 weeks ago,Added HTML structure
bcba073,Asif,4 weeks ago,Update Art_Details.html
42693de,Asif,4 weeks ago,Merge pull request #23 from doba0032/images/doba0032/images-admin-dashboard
80edc4e,doba0032,4 weeks ago,added images
104a6a3,doba0032,4 weeks ago,nothing changes
17ec6bd,doba0032,4 weeks ago,Merge branch 'main' of https://github.com/doba0032/COMP9030-Assignment
2d0f3cf,doba0032,4 weeks ago,Added CSS for styling
bf815aa,doba0032,4 weeks ago,Merge pull request #21 from doba0032/html/wagl0016/Header_Css
f308aa3,aayush kafle,4 weeks ago,Create header and footer file and add html css code
6b767c1,aayush kafle,4 weeks ago,Added CSS Code_ Art Collection section
6cf927b,shaonbarua001,4 weeks ago,Homepage added
f0793d4,doba0032,5 weeks ago,change file name in code
536c3ea,wagl0016,5 weeks ago,Merge pull request #20 from doba0032/skeleton/doba0032/SignIn-Page-update-responsive
07c4136,doba0032,5 weeks ago,update the code
343738d,wagl0016,5 weeks ago,Merge pull request #19 from doba0032/skeleton/doba0032/SignUp-Page
ead8bb5,doba0032,5 weeks ago,changed file name
53f4350,doba0032,5 weeks ago,added HTML code and create file
b94b336,Sirjana Wagle,5 weeks ago,Added Html Code to Art_Collection Page
48ee702,wagl0016,5 weeks ago,Merge pull request #17 from doba0032/skeleton/doba0032/SignUp-Page
54a1171,wagl0016,5 weeks ago,Merge pull request #16 from doba0032/CSS/doba0032/style-login-page
81a3557,doba0032,5 weeks ago,Added code in signup page
ec2659b,doba0032,5 weeks ago,Added CSS for login page
cbfd213,doba0032,5 weeks ago,Merge pull request #15 from doba0032/html/wagl0016/Footer
483320f,Sirjana Wagle,5 weeks ago,written footer section Html code
cf0b9ae,doba0032,5 weeks ago,changed in code
6444e34,doba0032,5 weeks ago,Merge pull request #14 from doba0032/html/wagl0016/navigation_bar_art_collection
22620e5,Sirjana Wagle,5 weeks ago,Update Art_Collection.html
8677797,wagl0016,5 weeks ago,Merge pull request #13 from doba0032/HTML/doba0032/Login-Page
dfa419a,doba0032,5 weeks ago,Merge branch 'main' into HTML/doba0032/Login-Page
a06edab,doba0032,5 weeks ago,Rename Login-SignUp.html to Login.html
3bad6ae,doba0032,5 weeks ago,no changes
75515a9,doba0032,5 weeks ago,change the name file
a9d6cea,doba0032,5 weeks ago,added HTML code
8d700f9,wagl0016,5 weeks ago,Merge pull request #12 from doba0032/HTML/doba0032/Login-Page
3a47f7d,doba0032,5 weeks ago,Merge pull request #11 from doba0032/html/wagl0016/navigation
7242e74,aayush kafle,5 weeks ago,files
f0a67ad,aayush kafle,5 weeks ago,for testing
7a0100c,doba0032,5 weeks ago,Added for testing
4afe7cd,doba0032,5 weeks ago,added new HTML files
8d9b55a,doba0032,7 weeks ago,logs
5ec8e46,doba0032,7 weeks ago,Added in Design_Rationale.md
6bb08a1,doba0032,7 weeks ago,Merge pull request #10 from doba0032/Workflow1-wagl0016
3a8cad9,doba0032,7 weeks ago,added in Design_Rationale.md
d63cc05,doba0032,7 weeks ago,Added in Design_Rationale.md
7e8593d,doba0032,7 weeks ago,Merge pull request #9 from doba0032/shao0093
2e2c894,wagl0016,7 weeks ago,Add files via upload
60965a1,wagl0016,7 weeks ago,Merge pull request #8 from doba0032/doba0032
aeb08d3,shaonbarua001,7 weeks ago,Art Submission Moderation User Flow
d312e77,doba0032,7 weeks ago,changed in Design_Rationale.md
0a05c5e,doba0032,7 weeks ago,added in Design_Rationale.md
e7f482c,doba0032,7 weeks ago,remove this file
e6101ff,doba0032,7 weeks ago,Changed the image location
f79c477,doba0032,7 weeks ago,Added information in Design_Rationale.md
1298d52,doba0032,7 weeks ago,this is Admin side dashboard
71ff578,wagl0016,7 weeks ago,Merge pull request #5 from doba0032/Personas1-doba0032
29b85fc,wagl0016,7 weeks ago,Merge pull request #6 from wagl0016/User-Flow_chow0250
c3571c8,wagl0016,7 weeks ago,Merge pull request #4 from doba0032/Persona2_shaf0084
d322a94,chow0250,7 weeks ago,Add files via upload
f0234a6,doba0032,7 weeks ago,added in Design_Rationale.md
36bbe70,doba0032,7 weeks ago,this is three files for login, sign up, New entry
ad00b00,Shaf0084,7 weeks ago,Persona2 created by Shafin
7162568,doba0032,7 weeks ago,Adding in Design_Rationale.md
e5a97b2,doba0032,7 weeks ago,change name of file
2f23cb9,doba0032,7 weeks ago,adding content in Design_Rational.md
eb3e71e,doba0032,7 weeks ago,Rename Design_Rational.md to Design_Rationale.md
997c80b,doba0032,7 weeks ago,changes in Design_Rational.md
fbf52b8,doba0032,7 weeks ago,changes in Design_Rational.md
bad5fd3,doba0032,7 weeks ago,Create Design_Rational.md
e7ff590,doba0032,7 weeks ago,This Personas1
df7a552,doba0032,7 weeks ago,this is Personas1
9c3ae23,doba0032,7 weeks ago,Delete c1-c4/cycle1/img/Personas 1.png
9ffbd28,wagl0016,7 weeks ago,Merge pull request #2 from doba0032/Workflow1-wagl0016
9fd5f96,wagl0016,7 weeks ago,Create and upload workflow for login and registration function
75e513b,wagl0016,7 weeks ago,Merge pull request #1 from doba0032/Personas1-doba0032
a494cf8,doba0032,7 weeks ago,This img file for images
d1cdcf8,doba0032,7 weeks ago,Delete c1-c4/cycle1/img
c13ef19,doba0032,7 weeks ago,Create img
cb1d1dc,doba0032,8 weeks ago,I deleted
3fe5960,doba0032,8 weeks ago,Added one image
b6800ba,doba0032,9 weeks ago,Added Document
2417e34,doba0032,9 weeks ago,Initial commit
